UID,Session,Experiment,Runs
308,308_FED_20150716a_3T2_PL2017,langlocSN,2
309,309_FED_20150717a_3T2_PL2017,langlocSN,2
310,310_FED_20150617a_3T2_PL2017,langlocSN,2
311,311_FED_20150617b_3T2_PL2017,langlocSN,2
312,312_FED_20170925a_3T2_PL2017,langlocSN,2
316,316_FED_20191106b_3T2_PL2017,langlocSN,2
318,318_FED_20191106d_3T2_PL2017,langlocSN,2
319,319_FED_20150624a_3T2_PL2017,langlocSN,2
320,320_FED_20150624c_3T2_PL2017,langlocSN,2
321,321_FED_20150819a_3T1_PL2017,langlocSN,2
322,322_FED_20150820a_3T2_PL2017,langlocSN,2
323,323_FED_20150823_3T2_PL2017,langlocSN,2
324,324_FED_20150827a_3T2_PL2017,langlocSN,2
325,325_FED_20150827b_3T2_PL2017,langlocSN,2
326,326_FED_20160523e_3T2_PL2017,langlocSN,2
327,327_FED_20150923b_3T2_PL2017,langlocSN,2
328,328_FED_20151106b_3T1_PL2017,langlocSN,2
329,329_FED_20151109a_3T1_PL2017,langlocSN,2
330,330_FED_20151111a_3T1_PL2017,langlocSN,2
331,331_FED_20151111c_3T1_PL2017,langlocSN,2
332,332_FED_20151113a_3T1_PL2017,langlocSN,2
333,333_FED_20151119a_3T1_PL2017,langlocSN,2
334,334_FED_20151119a_3T2_PL2017,langlocSN,2
335,335_FED_20151120a_3T1_PL2017,langlocSN,2
336,336_FED_20151212_3T1_PL2017,langlocSN,2
338,338_FED_20160112a_3T2_PL2017,langlocSN,2
339,339_FED_20151217a_3T2_PL2017,langlocSN,2
340,340_FED_20151217b_3T2_PL2017,langlocSN,2
341,341_FED_20151217c_3T2_PL2017,langlocSN,2
342,342_FED_20160105c_3T2_PL2017,langlocSN,2
343,343_FED_20160107a_3T2_PL2017,langlocSN,2
344,344_FED_20160107e_3T2_PL2017,langlocSN,2
345,345_FED_20160112b_3T2_PL2017,langlocSN,2
346,346_FED_20160112e_3T2_PL2017,langlocSN,2
347,347_FED_20160114e_3T2_PL2017,langlocSN,2
348,348_FED_20160119c_3T2_PL2017,langlocSN,2
349,349_FED_20160119d_3T2_PL2017,langlocSN,2
350,350_FED_20160121c_3T2_PL2017,langlocSN,2
351,351_FED_20160126a_3T2_PL2017,langlocSN,2
352,352_FED_20160126e_3T2_PL2017,langlocSN,2
353,353_FED_20160127a_3T1_PL2017,langlocSN,2
354,354_FED_20160128d_3T2_PL2017,langlocSN,2
355,355_FED_20160128e_3T2_PL2017,langlocSN,2
356,356_FED_20160202c_3T2_PL2017,langlocSN,2
357,357_FED_20160205m_3T2_PL2017,langlocSN,2
358,358_FED_20160208m_3T2_PL2017,langlocSN,2
359,359_FED_20160209m_3T2_PL2017,langlocSN,2
360,360_FED_20160211a_3T2_PL2017,langlocSN,2
361,361_FED_20160211b_3T2_PL2017,langlocSN,2
362,362_FED_20160212m_3T1_PL2017,langlocSN,2
363,363_FED_20160222b_3T2_PL2017,langlocSN,2
364,364_FED_20160229a_3T1_PL2017,langlocSN,2
365,365_FED_20170120a_3T2_PL2017,langlocSN,2
366,366_FED_20160229d_3T1_PL2017,langlocSN,2
367,367_FED_20160309b_3T1_PL2017,langlocSN,2
368,368_FED_20160310b_3T1_PL2017,langlocSN,2
369,369_FED_20160317b_3T1_PL2017,langlocSN,2
370,370_FED_20160317c_3T1_PL2017,langlocSN,2
371,371_FED_20160318a_3T1_PL2017,langlocSN,2
373,373_FED_20160318c_3T1_PL2017,langlocSN,2
375,375_FED_20160331d_3T1_PL2017,langlocSN,2
376,376_FED_20160401b_3T2_PL2017,langlocSN,2
377,377_FED_20160401a_3T2_PL2017,langlocSN,1
378,378_FED_20160405a_3T1_PL2017,langlocSN,2
379,379_FED_20160407a_3T1_PL2017,langlocSN,2
380,380_FED_20160407b_3T1_PL2017,langlocSN,2
381,381_FED_20160407c_3T1_PL2017,langlocSN,2
382,382_FED_20160407a_3T2_PL2017,langlocSN,2
383,383_POLY04_20160420a_3T1_PL2017,langlocSN,2
384,384_FED_20160421a_3T2_PL2017,langlocSN,2
385,385_POLY03_20160421_3T2_PL2017,langlocSN,2
386,386_FED_20160425d_3T1_PL2017,langlocSN,2
387,387_FED_20160425a_3T1_PL2017,langlocSN,2
388,388_FED_20160426b_3T1_PL2017,langlocSN,2
389,389_POLY02_20160425_3T1_PL2017,langlocSN,2
390,390_FED_20160428a_3T1_PL2017,langlocSN,2
391,391_FED_20160429a_3T2_PL2017,langlocSN,2
393,393_FED_20160504b_3T2_PL2017,langlocSN,2
394,394_POLY08_20160505_3T1_PL2017,langlocSN,2
395,395_FED_20160506a_3T2_PL2017,langlocSN,2
396,396_POLY09_20160512_3T1_PL2017,langlocSN,2
397,397_FED_20160516a_3T1_PL2017,langlocSN,2
398,398_FED_20160516b_3T1_PL2017,langlocSN,2
399,399_FED_20160519d_3T1_PL2017,langlocSN,2
400,400_FED_20160520a_3T1_PL2017,langlocSN,2
401,401_FED_20160520d_3T1_PL2017,langlocSN,2
402,402_FED_20160526c_3T1_PL2017,langlocSN,2
403,403_FED_20160526b_3T1_PL2017,langlocSN,2
404,404_FED_20160527a_3T2_PL2017,langlocSN,2
405,405_FED_20160531a_3T1_PL2017,langlocSN,2
406,406_FED_20160601a_3T1_PL2017,langlocSN,2
407,407_FED_20160616a_3T2_PL2017,langlocSN,2
408,408_FED_20160617a_3T2_PL2017,langlocSN,2
409,409_FED_20160728a_3T2_PL2017,langlocSN,2
410,410_FED_20160623b_3T2_PL2017,langlocSN,2
411,411_FED_20160624a_3T2_PL2017,langlocSN,2
412,412_FED_20160707a_3T1_PL2017,langlocSN,2
413,413_FED_20160707c_3T1_PL2017,langlocSN,2
414,414_FED_20160711b_3T1_PL2017,langlocSN,2
415,415_FED_20160714a_3T2_PL2017,langlocSN,2
416,416_FED_20160802a_3T1_PL2017,langlocSN,2
417,417_FED_20161104c_3T2_PL2017,SuperLocSN,2
418,418_FED_20160803a_3T2_PL2017,langlocSN,2
419,419_FED_20160805a_3T1_PL2017,langlocSN,2
420,420_FED_20160805b_3T1_PL2017,langlocSN,2
421,421_FED_20160804b_3T1_PL2017,langlocSN,2
422,422_FED_20160816a_3T1_PL2017,langlocSN,2
423,423_FED_20160817c_3T1_PL2017,langlocSN,2
424,424_FED_20160817a_3T1_PL2017,langlocSN,2
425,425_FED_20160818b_3T1_PL2017,langlocSN,2
426,426_FED_20160908d_3T1_PL2017,langlocSN,2
427,427_FED_20160823c_3T1_PL2017,langlocSN,2
428,428_FED_20160906a_3T2_PL2017,langlocSN,2
429,429_FED_20160906b_3T2_PL2017,langlocSN,2
430,430_FED_20170614c_3T2_PL2017,langlocSN,2
431,431_FED_20160907d_3T2_PL2017,langlocSN,2
432,432_FED_20160907a_3T2_PL2017,langlocSN,2
433,433_FED_20160908c_3T1_PL2017,langlocSN,2
434,434_FED_20160909c_3T2_PL2017,langlocSN,2
435,435_FED_20160909b_3T2_PL2017,langlocSN,2
436,436_FED_20160909d_3T2_PL2017,langlocSN,2
437,437_FED_20160929_3T1_PL2017,langlocSN,2
438,438_FED_20160929a_3T1_PL2017,langlocSN,2
439,439_POLY10_20160930_3T1_PL2017,langlocSN,2
440,440_FED_20160930_3T2_PL2017,langlocSN,2
441,441_FED_20161004a_3T1_PL2017,langlocSN,2
442,442_FED_20161004b_3T1_PL2017,langlocSN,2
443,443_FED_20161005_3T1_PL2017,langlocSN,2
444,444_FED_20161006_3T1_PL2017,langlocSN,2
445,445_FED_20161007_3T2_PL2017,langlocSN,2
446,446_FED_20161007_3T2_PL2017,langlocSN,2
447,447_FED_20161012a_3T2_PL2017,langlocSN,2
448,448_FED_20161012b_3T2_PL2017,langlocSN,2
449,449_FED_20170201b_3T2_PL2017,langlocSN,2
450,450_FED_20161012_3T1_PL2017,langlocSN,2
451,451_FED_20161013_3T1_PL2017,langlocSN,2
452,452_POLY11_20161014_3T1_PL2017,langlocSN,2
453,453_FED_20161014_3T1_PL2017,langlocSN,2
454,454_FED_20161017_3T1_PL2017,langlocSN,2
455,455_FED_20161018_3T1_PL2017,langlocSN,2
456,456_FED_20161019b_3T1_PL2017,langlocSN,2
457,457_FED_20161020_3T2_PL2017,langlocSN,2
458,458_FED_20161021_3T2_PL2017,langlocSN,2
459,459_FED_20161021_3T2_PL2017,langlocSN,2
460,460_FED_20161025_3T1_PL2017,langlocSN,2
461,461_FED_20161025a_3T1_PL2017,langlocSN,2
462,462_FED_20161026_3T1_PL2017,langlocSN,2
463,463_FED_20161026_3T1_PL2017,langlocSN,2
464,464_FED_20161028_3T2_PL2017,langlocSN,2
465,465_FED_20161027_3T1_PL2017,langlocSN,2
466,466_FED_20161027_3T1_PL2017,langlocSN,2
467,467_FED_20161028_3T1_PL2017,langlocSN,2
468,468_FED_20161031_3T1_PL2017,langlocSN,2
469,469_FED_20161031_3T1_PL2017,langlocSN,2
470,470_FED_20161101_3T1_PL2017,langlocSN,2
471,471_FED_20161101_3T1_PL2017,langlocSN,2
472,472_FED_20161101a_3T2_PL2017,langlocSN,2
473,473_FED_20190731a_3T2_PL2017,langlocSN,2
474,474_FED_20161102_3T1_PL2017,langlocSN,2
475,475_FED_20161103a_3T2_PL2017,langlocSN,2
476,476_FED_20161103b_3T2_PL2017,SuperLocSN,2
477,477_FED_20161103_3T2_PL2017,langlocSN,2
478,478_FED_20161103_3T2_PL2017,langlocSN,2
479,479_FED_20161104a_3T2_PL2017,langlocSN,2
480,480_FED_20161104_3T1_PL2017,langlocSN,2
481,481_FED_20161107_3T1_PL2017,langlocSN,2
482,482_FED_20161104_3T1_PL2017,langlocSN,2
483,483_FED_20161107d_3T2_PL2017,SuperLocSN,2
484,484_FED_20161108_3T1_PL2017,langlocSN,2
485,485_FED_20161108c_3T2_PL2017,SuperLocSN,2
486,486_FED_20161108e_3T2_PL2017,SuperLocSN,2
